,Word,Definition,Synonyms,Antonyms,Hypernyms,Hyponyms
0,happy,enjoying or showing or marked by joy or pleasure,"felicitous, glad, well-chosen",unhappy,,
1,sad,experiencing or showing sorrow or unhappiness; ; - Christina Rossetti,"deplorable, distressing, lamentable, pitiful, sorry",glad,,
2,dog,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds,"Canis familiaris, andiron, blackguard, bounder, cad",,"blighter, bloke, canid","Belgian griffon, Brussels griffon, Great Pyrenees"
3,car,a motor vehicle with four wheels; usually propelled by an internal combustion engine,"auto, automobile, cable car, elevator car, gondola",,"automotive vehicle, compartment, motor vehicle","Model T, S.U.V., SUV"
4,beautiful,delighting the senses or exciting intellectual or emotional admiration,,ugly,,
5,run,a score in baseball made by a runner touching all four bases safely,"be given, black market, bleed, break away, bunk","idle, malfunction","accompany, accomplish, action","MOT, MOT test, Ministry of Transportation test"
6,eat,take in solid food,"consume, corrode, deplete, eat on, eat up",,"consume, damage, drop","banquet, binge, bolt"
